id|question
1000|aa
1000|aafdaf
1000|qured
1000|jjj aa
1000|vafasfsa aafdaf
1000|ajaldal
1000|hhh aa
1000|qwqwrqw 
1000|a
200|Cách giải quyết bảo hiểm khi công ty bị thua lỗ
200|Cách giải quyết khi công ty bị thua lỗ
200|Cách giải quyết khi công ty phá sản
200|Cách giải quyết bảo hiểm khi công ty mất khả năng chi trả
200|Cách giải quyết bảo hiểm khi công ty không có khả năng chi trả
200|Cách giải quyết bảo hiểm khi công ty không thể chi trả
200|Cách giải quyết bảo hiểm khi công ty bị thua lỗ hoặc phá sản
201|Với giá trị đảm bảo của công ty có thể so với tình hình lạm phát hiện nay như thế nào
201|Tình hình lạm phát ảnh hưởng đến việc đảm bảo bảo hiểm của công ty thế nào
201|Bảo hiểm đảm bảo cho công ty khi có lạm phát
201|Bảo hiểm so với lạm phát
201|bảo hiểm khi có lạm phát
201|Tình hình lạm phát ảnh hưởng đến việc đảm bảo bảo hiểm của công ty thế nào
201|Bảo hiểm đảm bảo cho công ty khi có lạm phát
202|Thủ tục Hồ sơ bên Metlife khác BIC thế nào
202|Bảo hiểm bên BIC và Metlife khác nhau như thế nào
202|Bảo hiểm bên BIC và Metlife khác nhau
202|Thủ tục Hồ sơ bên BIC và Metlife khác nhau như thế nào
202|Tính chất bảo hiểm bên BIC và Metlife khác nhau như thế nào
203|Khám thẩm định
203|Tại sao phải đi khám sức khoẻ
203|Tại sao khám sức khoẻ
203|Khám sức khỏe
203|Tại sao lại phải đi khám
204|Chỉ định người thụ hưởng
205|Bảo hiểm tử kỳ
205|Sản phẩm bảo hiểm tử kỳ
205|sản phẩm này là gì
205|Sản phẩm bảo hiểm tử kỳ có tham gia chia bảo tức không?
206|Bổ trợ tai nạn tăng cường
206|Bổ trợ tai nạn cá nhân
220|bảo hiểm
220|bảo hiểm là gì
221|doanh nghiệp bảo hiểm
221|công ty bảo hiểm
221|cong ti bao hiem
222|đại lý bảo hiểm
222|đại lí bảo hiểm
1|bên mua bảo hiểm
1|bên mua
2|người được bảo hiểm
3|tuổi tối đa khi kết thúc hợp đồng
3|tuổi tối đa
3|Tuổi tối đa kết thúc bảo hiểm tử kỳ là bao nhiêu?
4|người thụ hưởng
4|Vai trò của người thụ hưởng
4|Vai trò của người thụ hưởng trong hợp đồng
4|Vai trò của người thụ hưởng trong hợp đồng bảo hiểm
4|Trong hợp đồng bảo hiểm nhận thọ thì Người thụ hưởng là ai
5|tuổi người được bảo hiểm
5|tuổi tính thế nào
5|tính tuổi
6|Thời hạn bảo hiểm
6|Thời hạn bh
7|Thời hạn hợp đồng
7|Thời hạn hd
8|Năm hợp đồng
9|Số tiền bảo hiểm
9|Tiền bảo hiểm
9|Số tiền bh
9|Tiền bh
10|Phí bảo hiểm định kỳ
10|Phí bảo hiểm
10|phí bh
10|phí bh định kỳ
11|Thời hạn đóng phí
11|Thời hạn đóng phí bảo hiểm
11|Thời hạn đóng phí hợp đồng
11|Thời hạn đóng phí bh
11|Thời hạn đóng phí hd
12|Ngày đến hạn đóng phí
12|ngày đóng phí
12|hạn đóng phí
12|ngày hạn đóng phí
12|Thời điểm nộp phí
12|Ngày đến hạn đóng phí bh
12|ngày đóng phí bh
12|ngày hạn đóng phí bh
12|Thời điểm nộp phí bh
13|Thời gian gia hạn đóng phí bảo hiểm
13|thời gian gia hạn đóng phí
13|gia hạn đóng phí
14|Khôi phục hiệu lực hợp đồng
14|Khôi phục hợp đồng
14|Thời gian khôi phục hợp đồng
14|Bao lâu thì có thể khôi phục xong hiệu lực hợp đồng
14|Bao lâu thì có thể khôi phục xong hiệu lực hợp đồng?
14|Thủ tục khôi phục hợp đồng
14|Hợp đồng bị mất hiệu lực
14|Khôi phục hiệu lực hợp đồng
14|Điều kiện để khôi phục hợp đồng
14|Thời gian mất hiệu lực hợp đồng là bao lâu thì vẫn có thể khôi phục lại
14|Hợp đồng chấm dứt mấy tháng thì vẫn có thể khôi phục được
14|Hợp đồng chấm dứt mấy tháng thì không thể khôi phục được
14|Thủ tục để khôi phục hợp đồng đang mất hiệu lực
14|Khôi phục hiệu lực hd
14|Khôi phục hd
15|Ngày hiệu lực của Hợp đồng
15|Ngày hiệu lực
15|Ngày hiệu lực hd
16|Ngày kỷ niệm hợp đồng
16|Ngày kỷ niệm
16|Ngày kỷ niệm hd
16|kỷ niệm hợp đồng
16|kỷ niệm hd
17|Thương tật toàn bộ vĩnh viễn
17|Thương tật toàn phần vĩnh viễn
17|thương tật vĩnh viễn
18|Hợp đồng bảo hiểm
18|Hợp đồng
19|Hồ sơ yêu cầu bảo hiểm
19|Hồ sơ yêu cầu
20|Giấy chứng nhận bảo hiểm
20|Chứng nhận bảo hiểm
20|Chứng nhận hợp đồng
21|Bảng minh họa quyền lợi
21|Minh hoạ quyền lợi
22|Thời gian cân nhắc
22|Những việc có thể làm trong thời gian cân nhắc
22|Quyền lợi trong thời gian cân nhắc thế nào?
23|Thời hạn bảo hiểm tạm thời
23|Hạn bảo hiểm tạm thời
24|Quyền lợi bảo hiểm tạm thời
25|Loại trừ đối với bảo hiểm tạm thời
25|Loại trừ bảo hiểm tạm thời
26|Bảo hiểm tạm thời chấm dứt
27|Quyền lợi bảo hiểm tử vong
27|Quyền lợi bh tử vong
28|Quyền lợi bảo hiểm thương tật toàn bộ vĩnh viễn
28|Quyền lợi bảo hiểm thương tật
28|Quyền lợi bh thương tật
28|Quyền lợi bh thương tật toàn bộ vĩnh viễn
29|Loại trừ đối với sự kiện tử vong
29|Loại trừ tử vong
29|Loại trừ khi tử vong
30|Loại trừ đối với sự kiện Thương tật toàn bộ vĩnh viễn
30|Loại trừ thương tật toàn bộ vĩnh viễn
30|loại trừ thương tật
30|loại trừ thương tật vĩnh viễn
31|THAY ĐỔI SỐ TIỀN
31|thay đổi tiền
31|Tăng Số tiền
31|tăng tiền
31|tăng tiền bảo hiểm
31|tăng số tiền bảo hiểm
31|Giảm Số tiền
31|Giảm số tiền bảo hiểm
31|giảm tiền
31|giảm tiền bảo hiểm
31|giảm mức phí bảo hiêm
31|Mức phí đóng bảo hiểm có thể giảm xuống
31|Giảm mức phí đóng bảo hiểm
31|Giảm mức phí bảo hiểm bằng cách nào
31|Mức phí đóng bảo hiểm có thể giảm xuống không
31|Giảm mức phí đóng bảo hiểm được không
31|Mức phí đóng bảo hiểm có thể tăng lên
31|Tăng mức phí đóng bảo hiểm
31|Tăng mức phí bảo hiểm bằng cách nào
31|Mức phí đóng bảo hiểm có thể tăng xuống không
31|Tăng mức phí đóng bảo hiểm được không
31|Tăng phí bảo hiểm
31|Mức phí đóng bảo hiểm có thể tăng lên
31|tăng mức phí bảo hiểm
31|giảm phí bh
31|tăng phí bh
31|tăng tiền bh
31|giảm tiền bh
31|thay đổi phí bh
31|thay đổi tiền bh
31|Những quyền lợi khi mức phí đóng bảo hiểm tăng lên
32|THAY ĐỔI NGHỀ NGHIỆP, NƠI CƯ TRÚ, RA KHỎI LÃNH THỔ VIỆT NAM
32|THAY ĐỔI NGHỀ NGHIỆP
32|THAY ĐỔI NƠI CƯ TRÚ
32|RA KHỎI LÃNH THỔ VIỆT NAM
32|RA KHỎI VIỆT NAM
33|THAY ĐỔI NGƯỜI THỤ HƯỞNG
34|CHUYỂN NHƯỢNG HỢP ĐỒNG BẢO HIỂM
34|Chuyển nhượng hợp đồng
34|Điều kiện nhận hợp đồng chuyển nhượng
34|Điều kiện nhượng hợp đồng
34|Hiệu lực chuyển nhượng hợp đồng
34|Thủ tục chuyển nhượng hợp đồng
34|Các cách chuyển nhượng hợp đồng
34|Chuyển nhượng hợp đồng bảo hiểm tử kỳ
34|Thủ tục chuyển nhượng hợp đồng là gì
34|Cần nộp gì cho công ty khi chuyển nhượng hợp đồng
35|Thay đổi trong trường hợp Bên mua bảo hiểm là cá nhân bị tử vong
35|Thay đổi khi cá nhân tử vong
35|Thay đổi khi Bên mua bảo hiểm là cá nhân tử vong
35|Thay đổi khi Bên mua tử vong
36|Thay đổi trong trường hợp Bên mua bảo hiểm là tổ chức bị giải thể
36|Thay đổi bên mua giải thể
36|Thay đổi bên mua phá sản
36|Thay đổi trong trường hợp Bên mua bảo hiểm là tổ chức bị phá sản
36|Khi bên mua bị phá sản
36|Khi bên mua bị giải thể
36|Thay đổi trong trường hợp Bên mua bảo hiểm là tổ chức giải thể
36|Thay đổi trong trường hợp Bên mua bảo hiểm là tổ chức phá sản
37|THỜI HẠN YÊU CẦU GIẢI QUYẾT QUYỀN LỢI BẢO HIỂM
37|thời hạn giải quyết bảo hiểm
37|thời hạn giải quyết quyền lợi
38|HỒ SƠ YÊU CẦU GIẢI QUYẾT QUYỀN LỢI BẢO HIỂM
38|Hồ sơ giải quyết bảo hiểm
39|NHẬN QUYỀN LỢI HỢP ĐỒNG BẢO HIỂM
39|Nhận quyền lợi bảo hiểm
40|NGHĨA VỤ CHỨNG MINH
41|THỜI GIAN GIẢI QUYẾT QUYỀN LỢI BẢO HIỂM
42|BẢO MẬT THÔNG TIN
42|KÊ KHAI CUNG CẤP VÀ BẢO MẬT THÔNG TIN
42|KÊ KHAI CUNG CẤP THÔNG TIN
43|MIỄN TRUY XÉT
44|GIẢI QUYẾT TRANH CHẤP
50|Sản phẩm tôi đang tham gia
50|bảo hiểm tôi đang tham gia
50|tôi đang dùng bảo hiểm nào
50|loại bảo hiểm tôi đang dùng
50|Bảo hiểm tôi đang tham gia được hiểu thế nào
51|Hợp đồng bảo hiểm chưa có đã ký người được bảo hiểm gặp rủi ro giải quyết
51|Bị tử vong khi hợp đồng bảo hiểm chưa làm xong giải quyết
51|Giải quyết bảo hiểm rủi ro sau khi đã tham gia bảo hiểm chưa có hợp đồng
52|Số tiền bảo hiểm tối thiểu
52|Số tiền bảo hiểm tối đa
53|Mức phí để tham gia bảo hiểm
53|Mức phí tối thiểu và tối đa để tham gia
53|Mức phí tham gia
53|Mức phí để tham gia bảo hiểm là thế nào?
53|Phí tham gia bảo hiểm
53|Phí tham gia bh
53|Số tiền cần đóng để tham gia bảo hiểm là bao nhiêu
53|Số tiền tối thiểu và tối đa để tham gia bảo hiểm là bao nhiêu
53|Số tiền đóng bảo hiểm
53|Quy định số tiền đóng bảo hiểm
53|Phí bảo hiểm phụ thuộc vào cái gì
54|Hợp đồng bảo hiểm có được chia lãi
54|Lãi trong bảo hiểm tử kỳ
54|Chia lãi
55|Quy định khách hàng VIP
55|Khách hàng VIP
55|Quyền lợi khách hàng VIP
55|Mức phí để làm khách hàng VIP
55|Hợp đồng liên quan  đến việc trở thành khách hàng VIP
56|Thay đổi sản phẩm bộ trợ
56|Thêm bớt sản phẩm bộ trợ
56|Có thể thêm bớt sản phẩm bổ trợ
56|Thêm sản phẩm bổ trợ
56|bớt sản phẩm bộ trợ
57|Đi công tác nước ngoài có cần khai báo
57|Đi công tác nước ngoài khai báo
57|Đi công tác nước ngoài
58|Thay đổi định kỳ đóng tiền
58|Thay đổi định kỳ đóng phí
58|Mức phí thay đổi định kỳ đóng phí
58|Cách tính phí bảo hiểm theo định kỳ
58|Mức phí cho việc thay đổi định kỳ đóng phí là bao nhiêu
58|Cách tính phí bảo hiểm theo định kỳ
58|Phí bảo hiểm theo định kỳ được tính như thế nào
58|Công thức tính phí bảo hiểm
58|Tính phí bảo hiểm theo định kỳ
59|Gặp rủi ro nước ngoài giải quyết
59|Giải quyết quyền lợi rời Việt Nam chưa khai báo
59|Giải quyết quyền lợi rời Việt Nam không khai báo
59|Quyền lợi rủi ro nước ngoài
59|Đi nước ngoài khai báo gì
60|Nhắc nhở nộp phí
60|Quên nộp phí
60|Quên đóng phí
60|Thời điểm nộp phí
60|Nhắc nhở nộp phí bh
60|Quên nộp phí bh
60|Quên đóng phí bh
60|Thời điểm nộp phí bh
60|Những ảnh hưởng nếu công ty quên nhắc nhở nộp phí
60|Xử lý vấn đề quên đóng phí
61|quên đóng phí thời gian mất hiệu lực
62|Hiệu lực hợp đồng bị cắt khi nộp tiền sát ngày ân hạn và công ty không nhận được tiền
62|Gặp rủi ro trong khoảng thời gian hợp đồng bị cắt thì được giải quyết thế nào?
62|Giải quyết thế nào khi nộp tiền sát ngày hết hiệu lực hợp đồng và công ty chưa nhận được tiền
62|Công ty giải quyết thế nào khi nộp tiền sát ngày hết hiệu lực hợp đồng và công ty chưa nhận được tiền
62|hết hiệu lực hơp đồng công ty chưa nhận được tiền
62|bị cắt hơp đồng công ty chưa nhận được tiền
62|hiệu lực hợp đồng bị cắt khi công ty chưa nhận được tiền bảo hiểm
62|hiệu lực hợp đồng bị cắt khi công ty chưa nhận được tiền
63|Chưa đóng phí gặp rủi ro trong thời gian ân hạn
